PmassEU,PradiusEU,PdensityEU,PfluxMeanEU,PteqMeanK,PsurfPressEU,Pmag,PperiodDYS,SmassSU,SradiusSU,SteffK,SluminositySU,SsizefromPlanetDEG
5.09,1.66,1.1,296.5414,1054.4,5.6,-24.5,4.21,0.95,0.94,5531,0.741925,10.0643
98.24,14.48,0.03,336.1432,1087.8,3.2,-29.36,4.22,0.98,1.04,5449,0.857153,11.0451
2.58,1.38,0.99,465.2715,1183.2,2.5,-24.57,4.22,1.02,1.03,6015,1.258094,10.6223
3.47,2.63,0.19,395.5309,1136.2,0.7,-25.81,4.22,1.01,1,5835,1.040048,10.4069
149.43,21.28,0.02,598.9285,1260.3,2.3,-30.82,4.23,1.11,1.27,5793,1.619464,13.0026
18.61,6.32,0.07,162.8355,907.4,1.4,-26.76,4.23,0.82,0.79,5079,0.370728,8.8439
4.65,1.62,1.09,727.2513,1323,5.1,-25.42,4.23,1.03,1.31,6092,2.120665,12.9557
164.34,8.92,0.23,344.2394,1097.4,38.1,-28.32,4.23,1.04,1.03,5582,0.92411,10.6093
9.57,3.64,0.2,337.5216,1092,1.9,-26.34,4.24,0.98,0.95,5735,0.875933,9.9505
2.51,1.37,0.98,354.5896,1105.5,2.5,-24.26,4.24,0.98,0.97,5745,0.919588,10.164
1.4,1.15,0.91,195.0811,952.1,1.3,-23.24,4.24,0.85,0.81,5288,0.460284,8.8956
6921.55,11.31,4.78,1059.134,1453.4,33097,-30.07,4.26,1.41,1.44,6558,3.441126,13.4943
2.04,1.29,0.96,464.9561,1183,1.9,-24.43,4.26,0.78,0.95,6031,1.071259,10.5622
1.65,1.21,0.93,305.7051,1065.3,1.5,-23.83,4.27,0.94,0.92,5658,0.778247,9.7288
3.72,2.69,0.19,310.6443,1069.6,0.7,-25.59,4.28,0.97,0.95,5624,0.810062,9.9265
21.59,4.77,0.2,642.2388,1282.5,4.3,-27.64,4.29,1.15,1.22,6125,1.879463,12.0406
0.39,0.78,0.81,259.4774,1022.5,0.3,-22.71,4.29,0.93,0.89,5521,0.660299,9.4128
124.63,14.34,0.04,263.6524,1025.6,5.3,-29.07,4.3,0.94,0.98,5295,0.675957,10.3312
194.9,14.11,0.07,441.7067,1166.3,13.5,-29.6,4.3,0.99,1.11,5715,1.17287,11.49
10.17,1.99,1.28,170.0225,920,13.1,-24.28,4.3,0.85,0.75,5333,0.408224,8.1638
24.64,2.45,1.67,259.8397,1022.9,41.1,-25.2,4.3,0.93,0.9,5496,0.663074,9.5054
158.97,10.08,0.16,502.0166,1205.9,24.7,-29,4.3,1.08,1.14,5900,1.412888,11.4708
3.82,1.54,1.05,105.5359,810.4,4,-23.22,4.31,0.77,0.65,4977,0.233304,7.4596
3.78,1.53,1.05,327.0515,1083.4,4,-24.42,4.31,0.9,0.88,5857,0.817629,9.3898
4.02,2.76,0.19,218.5512,979.6,0.8,-25.26,4.31,0.9,0.8,5554,0.546378,8.5345
3.47,2.63,0.19,781.7841,1347.2,0.7,-26.55,4.31,1.22,1.34,6209,2.394342,12.9311
95.38,13.55,0.04,421.8974,1154.6,3.7,-29.46,4.32,1.01,1.06,5800,1.140811,10.8796
187.58,13.66,0.07,298.5426,1058.7,13.8,-29.1,4.32,1.01,0.93,5700,0.819134,9.4759
5.14,1.67,1.11,230.2713,992.4,5.7,-24.22,4.34,0.91,0.89,5388,0.598936,9.3101
5.68,1.71,1.13,1019.511,1439.6,6.4,-25.91,4.34,1.22,1.57,6144,3.151331,15.0926
5.14,1.67,1.11,257.5746,1020.6,5.7,-24.35,4.34,0.93,0.9,5500,0.665006,9.45
0.74,0.95,0.86,467.7715,1184.8,0.6,-23.77,4.34,1.07,1.09,5940,1.327054,10.9223
8.1,1.88,1.22,282.5348,1044.5,9.9,-24.71,4.35,0.94,0.91,5611,0.736434,9.5097
2.97,1.43,1.01,199.0215,956.9,3,-23.73,4.35,0.86,0.83,5306,0.489909,8.9242
154.2,15.29,0.04,497.5607,1203.3,6.7,-29.9,4.35,1.1,1.18,5826,1.439624,11.7533
4.65,1.62,1.09,260.5421,1023.6,5.1,-24.3,4.36,1.29,0.9,5526,0.67767,9.415
2.17,1.31,0.96,365.0538,1113.6,2.1,-24.2,4.36,1,1,5772,0.995853,10.2168
2.65,1.39,0.99,344.9587,1098,2.6,-24.27,4.37,0.99,0.98,5743,0.93734,10.0317
120.82,16.02,0.03,913.1744,1400.5,3.6,-30.66,4.38,1.32,1.88,5550,3.00869,17.5226
3.05,1.44,1.01,100.9532,807.6,3.1,-23.01,4.39,0.76,0.7,4796,0.232596,7.7777
1.35,1.14,0.91,184.2961,938.7,1.2,-23.16,4.39,0.86,0.84,5194,0.46074,8.9621
53.41,12.67,0.03,568.909,1244.2,1.4,-29.63,4.41,1.1,1.22,5946,1.677422,12.0249
23.12,2.42,1.63,230.8795,993.1,37.8,-25.04,4.41,0.88,0.85,5485,0.586724,8.995
2.58,1.38,0.99,479.829,1192.4,2.5,-24.61,4.41,1.1,1.15,5877,1.415495,11.3019
181.23,15.57,0.05,688.8043,1305.2,8.7,-30.29,4.41,1.25,1.28,6230,2.21443,12.0528
4.74,2.9,0.19,1326.477,1537.5,0.9,-27.34,4.42,1.4,1.66,6570,4.606461,15.0551
1.86,1.25,0.94,140.062,876.4,1.8,-23.06,4.42,0.82,0.77,5030,0.34052,8.3295
10.4,2,1.29,64.08414,720.8,13.4,-23.23,4.42,0.71,0.68,4299,0.141702,7.7123
3.14,1.46,1.02,548.9738,1233.2,3.2,-24.88,4.43,1.2,1.11,6282,1.721582,10.5782
5.72,3.08,0.2,338.3593,1092.7,1.1,-25.98,4.43,1.07,0.97,5847,0.986656,9.5839
171.69,9.01,0.23,554.6273,1236.4,40.3,-28.86,4.43,1.23,1.17,6174,1.775407,11.009
4.54,1.61,1.08,213.617,974,4.9,-24.07,4.44,0.9,0.85,5413,0.556519,8.8836
4.51,1.61,1.08,213.1267,973.4,4.9,-24.06,4.44,0.9,0.85,5413,0.556519,8.8734
137.03,18.98,0.02,798.4283,1354.2,2.7,-30.89,4.44,1.17,1.48,5947,2.468106,14.2517
6.56,1.78,1.16,462.7734,1181.6,7.6,-25.13,4.44,1.06,1.09,5961,1.34592,10.787
,11.98,,255.1597,1018.2,,-28.64,4.45,0.93,0.9,5535,0.682096,9.2867
0.53,0.86,0.83,801.0089,1355.4,0.4,-24.14,4.45,1.21,1.32,6356,2.551369,12.4889
195.53,19.38,0.03,1614.017,1614.8,5.3,-31.7,4.46,1.51,2.21,6080,5.966438,19.4287
156.74,14.38,0.05,742.3782,1326.1,8.3,-30.21,4.46,1.28,1.4,6120,2.452824,13.0201
1.14,1.09,0.89,92.68533,790.5,1,-22.3,4.46,0.76,0.71,4679,0.21678,7.8298
166.92,14.77,0.05,512.5095,1211.2,8.6,-29.86,4.47,1.15,1.17,5980,1.58136,11.2942
18.71,2.31,1.52,317.8292,1075.7,28.5,-25.28,4.47,0.98,0.96,5718,0.883912,9.7128
181.23,14.56,0.06,391.1523,1133,10.6,-29.53,4.47,1.01,1.01,5900,1.111221,10.1216
9.54,1.96,1.26,18.83514,526.7,12.1,-21.87,4.48,0.54,0.45,3700,0.034123,5.7202
2.04,1.29,0.96,426.097,1157.5,1.9,-24.33,4.48,1.05,1.07,5902,1.246391,10.5581
1.86,1.25,0.94,553.5004,1235.7,1.8,-24.56,4.49,1.05,1.15,6079,1.620369,11.3454
1.75,1.23,0.94,6.568213,407.9,1.6,-19.68,4.49,0.24,0.26,3299,0.007184,4.1905
22.16,2.4,1.61,409.7102,1146.2,35.7,-25.64,4.5,1.03,1.05,5887,1.188077,10.4055
3.02,2.52,0.19,28.34015,587.8,0.6,-22.84,4.5,0.55,0.53,3827,0.05406,6.4704
7.92,1.87,1.21,564.9871,1242.1,9.6,-25.45,4.51,1.15,1.22,6035,1.771408,11.6312
3.14,1.46,1.02,206.3965,965.7,3.2,-23.81,4.51,0.88,0.84,5406,0.540695,8.7546
0.8,0.97,0.86,342.8713,1096.3,0.7,-23.49,4.52,1,0.99,5780,0.981458,9.8733
4.8,2.91,0.19,349.6339,1101.7,0.9,-25.9,4.54,0.87,1,5752,0.982122,10.068
151.02,15.78,0.04,806.1767,1357.5,5.8,-30.49,4.54,1.32,1.61,5890,2.79205,14.6007
0.09,0.49,0.75,139.0742,872.5,0.1,-21.01,4.55,0.76,0.75,5046,0.328938,8.2774
1.35,1.14,0.91,164.9512,913,1.2,-23.03,4.55,0.84,0.8,5213,0.424054,8.416
197.12,9.31,0.24,122.5929,846.6,48.1,-27.29,4.56,0.79,0.73,5017,0.302909,7.847
1.75,1.23,0.94,163.0962,910.4,1.6,-23.19,4.56,0.84,0.8,5203,0.420809,8.4007
135.76,18.59,0.02,991.9004,1404.9,2.9,-31.13,4.57,1.3,1.74,5896,3.282603,16.5609
2.73,1.4,0.99,149.9382,891.5,2.7,-23.37,4.58,0.98,0.8,5105,0.389989,8.3669
4.31,1.59,1.07,292.2838,1053.4,4.6,-24.38,4.58,0.94,0.9,5852,0.852299,8.8909
119.5,8.2,0.22,650.6038,1286.7,25.9,-28.83,4.58,1.18,1.27,6185,2.117659,11.8842
4.98,2.95,0.19,687.1104,1304.4,1,-26.66,4.59,1.18,1.49,5786,2.232422,13.9652
3.49,1.5,1.03,747.1185,1332,3.6,-25.28,4.59,1.21,1.38,6173,2.481036,12.7884
19.94,2.34,1.55,167.902,917.1,31,-24.62,4.6,0.86,0.83,5206,0.454007,8.514
8.88,1.93,1.24,368.6872,1116.4,11,-25.05,4.6,1.03,1.04,5803,1.100441,10.158
190.76,13.44,0.08,             ,,15,,4.6,,,,,
207.61,14.01,0.08,357.2834,1106.3,15.7,-29.35,4.61,1.03,1.07,5670,1.067632,10.4916
50.3,8.2,0.09,1994.367,1702.5,4.6,-30.05,4.61,1.53,3.88,4881,7.666347,33.8399
1.74,1.23,0.94,7.975145,428.1,1.6,-19.89,4.61,0.26,0.26,3537,0.009492,4.017
4.09,1.57,1.06,691.0911,1306.3,4.3,-25.29,4.61,0.97,1.33,6133,2.245355,12.4592
133.53,15.68,0.03,185.7636,940.6,4.6,-28.88,4.61,0.87,0.87,5200,0.496526,8.977
3.88,1.55,1.05,47.42486,668.6,4.1,-22.33,4.62,0.62,0.58,4362,0.109267,6.4428
2.71,0.85,4.4,313.2244,1071.8,11.9,-23.09,4.62,1.07,1.07,5538,0.966205,10.2806
197.12,9.31,0.24,1021.057,1440.1,48.1,-29.6,4.62,1.27,1.63,6212,3.55405,14.7739
699.47,13.44,0.29,1044.512,1445.9,201.5,-30.43,4.63,1.39,1.47,6600,3.668747,13.2598
84.89,9.24,0.11,226.035,987,9.1,-27.94,4.64,0.89,0.92,5330,0.616882,9.4368
309.99,14.3,0.11,689.2173,1305.4,32.8,-30.11,4.64,1.18,1.53,5743,2.278725,14.198
168.51,16.8,0.04,1306.131,1506.7,6,-31.2,4.64,1.42,1.74,6438,4.66651,15.9088
4.13,1.5,1.22,71.32324,740.4,5.1,-22.71,4.64,0.72,0.65,4613,0.170072,7.0654
4.17,1.58,1.06,102.9394,811.5,4.4,-23.22,4.65,0.77,0.72,4850,0.257349,7.6797
3.69,1.52,1.04,112.057,828.9,3.8,-23.24,4.65,0.82,0.72,4954,0.280142,7.6797
20.7,4.7,0.2,441.6419,1167.9,4.1,-27.2,4.66,1.05,1.19,5746,1.384989,11.343
12.72,12.66,0.01,17.52007,520.7,0.1,-25.84,4.69,0.35,0.42,3600,0.026583,5.7556
2.89,1.42,1,273.8035,1036.3,2.9,-24.07,4.7,0.95,0.93,5660,0.796382,9.1996
130.63,8.4,0.22,259.1008,1022.1,28.8,-27.88,4.71,0.95,0.92,5618,0.756471,9.0832
871.16,10.67,0.72,90.04634,783.9,624.1,-27.25,4.72,0.76,0.69,4803,0.226662,7.335
2.81,1.41,1,103.8765,813.3,2.8,-22.99,4.72,0.7,0.72,4861,0.259691,7.6797
65.5,14.71,0.02,1099.111,1466.9,1.3,-30.68,4.73,1.39,1.51,6703,4.157114,13.1568
4.01,1.48,1.23,278.6089,1040.9,4.9,-24.17,4.73,0.91,0.92,5669,0.782612,9.2506
62,15.34,0.02,1422.617,1564.6,1.1,-31.05,4.74,1.44,2.72,5370,5.519818,23.4337
11.7,1.81,1.96,84.27973,771.9,22.9,-23.31,4.75,0.75,0.69,4725,0.21291,7.3209
75.35,10.21,0.07,183.4087,937.5,5.3,-27.93,4.76,0.94,0.87,5304,0.538692,8.5736
4.51,2.86,0.19,500.5665,1205.1,0.9,-26.24,4.76,0.99,1.27,5790,1.626341,11.8951
5.4,1.69,1.12,804.7195,1356.9,6,-25.62,4.76,1.16,1.42,6228,2.721829,13.04
1.7,1.22,0.93,260.0544,1023.1,1.6,-23.68,4.77,0.95,0.93,5616,0.771906,9.1064
7.38,1.84,1.19,450.4913,1173.7,8.8,-25.17,4.77,1.09,1.13,5981,1.466027,10.5712
0.41,0.8,0.82,356.1997,1106.8,0.3,-23.08,4.77,1,1.05,5770,1.096407,10.0988
8.1,1.88,1.22,182.8136,936.8,9.9,-24.23,4.78,0.88,0.89,5194,0.517223,8.9259
2.3,1.33,0.97,235.9183,998.5,2.2,-23.76,4.79,0.91,0.89,5526,0.662694,8.9581
1.23,1.11,0.9,257.6379,1020.7,1.1,-23.46,4.79,0.95,0.93,5612,0.769709,9.0769
3.52,2.64,0.19,229.706,991.8,0.7,-25.23,4.8,0.93,0.9,5527,0.678161,8.8359
10.4,2,1.29,246.69,1009.7,13.4,-24.7,4.81,0.91,0.89,5744,0.77362,8.4773
19.94,2.34,1.55,418.5839,1152.4,31,-25.62,4.82,0.94,1.2,5696,1.359979,11.2373
3.4,1.49,1.03,6.378271,404.9,3.5,-20.06,4.84,0.28,0.3,3208,0.008552,4.3672
5.96,1.74,1.14,456.4298,1177.6,6.8,-25.06,4.85,1.11,1.14,6028,1.539546,10.4751
85.84,12.1,0.05,506.1459,1208.4,4.2,-29.41,4.86,1.09,1.19,6040,1.690953,10.9886
8.58,2.51,0.54,3.899791,358,4.7,-20.67,4.87,0.18,0.21,3157,0.00393,3.5258
1.4,1.15,0.91,276.6894,1039.1,1.3,-23.62,4.87,0.98,0.96,5682,0.861861,9.1764
2.37,1.34,0.97,96.88339,799.3,2.3,-22.81,4.88,0.78,0.73,4830,0.26021,7.512
26.21,4.73,0.25,95.6879,790.9,6.5,-25.56,4.89,0.81,0.75,4780,0.263466,7.6994
137.67,18.08,0.02,1168.607,1486.8,3.2,-31.2,4.89,1.36,2.02,5933,4.536177,17.3884
4.09,1.57,1.06,624.671,1273.7,4.3,-25.18,4.89,1.17,1.3,6176,2.206001,11.6782
1.36,1.14,0.91,3.313124,343.7,1.2,-18.77,4.89,0.25,0.19,3393,0.004177,2.823
5.08,1.66,1.1,600.6637,1261.2,5.6,-25.26,4.9,1.14,1.41,5851,2.090492,12.7647
20.8,2.36,1.58,571.1628,1245.5,32.8,-25.97,4.9,1.18,1.27,6123,2.034015,11.36
1.98,1.28,0.95,128.367,857.5,1.9,-23,4.9,0.83,0.78,5071,0.360955,7.845
99.52,16.34,0.02,604.6438,1263.3,2.3,-30.26,4.9,1.2,1.39,5950,2.178895,12.3815
12.97,2.12,1.37,134.228,867.2,17.7,-24.15,4.92,0.77,0.81,5078,0.391409,8.0002
6.4,1.77,1.16,424.5038,1156.4,7.4,-25.02,4.92,1.01,1.19,5740,1.379213,11.1433
1.07,1.06,0.89,465.9209,1183.6,0.9,-24.01,4.92,1.05,1.18,5900,1.513777,11.0494
4.13,2.78,0.19,692.3416,1306.8,0.8,-26.54,4.92,1.25,1.34,6322,2.573459,11.7334
244.81,9.77,0.26,360.3759,1110,64.3,-28.57,4.93,1,2,4250,1.170861,18.7828
209.84,10.75,0.17,264.9922,1027.9,35.4,-28.44,4.94,1.02,0.99,5595,0.865194,9.262
2.81,1.41,1,595.8103,1258.7,2.8,-24.9,4.94,0.85,1.29,6105,2.074016,11.6721
31.79,10.98,0.02,213.0975,972.9,0.8,-28.25,4.95,1.07,0.94,5482,0.715981,8.6557
305.22,14.9,0.09,810.8217,1359.5,28.2,-30.37,4.95,1.28,1.43,6400,3.086709,12.3926
178.05,19.04,0.03,1605.365,1612.6,4.6,-31.65,4.95,1.45,2.08,6431,6.639428,17.3019
18.31,2.3,1.51,135.9277,869.9,27.7,-24.35,4.97,0.85,0.81,5094,0.396365,8.0002
2.89,1.42,1,190.8475,946.9,2.9,-23.67,4.98,0.84,0.8,5631,0.577314,7.7574
158.97,12.1,0.09,34.06522,615.1,14.3,-26.46,4.98,0.52,,,0.071328,
3.33,2.6,0.19,156.6182,901.3,0.6,-24.77,5,0.86,0.82,5264,0.463213,8.0419
690.25,11.98,0.4,765.6108,1324.7,276.8,-29.87,5.01,1.22,1.36,6065,2.245385,13.6239
,14.95,,1393.755,1556.7,,-30.97,5.01,1.49,1.8,6733,5.974057,14.692
137.27,8.51,0.22,294.6017,1055.5,30.6,-28.05,5.01,0.99,0.98,5777,0.959735,9.1599
282.97,15.34,0.08,441.6191,1167.9,22.2,-29.78,5.02,0.94,1.17,5800,1.389868,11.1318
302.04,20.05,0.04,1738.708,1645.1,11.3,-31.85,5.03,1.59,2.37,6278,7.828377,18.9085
2.17,1.31,0.96,302.3637,1062.4,2.1,-23.99,5.03,0.84,0.91,5977,0.948212,8.6681
11.37,2.05,1.32,224.4078,986.1,15,-24.65,5.03,0.93,0.89,5614,0.705926,8.4641
261.03,7.08,0.74,630.6478,1276.7,192.1,-28.48,5.03,1.24,1.29,6330,2.400807,11.1683
2.81,1.41,1,423.9365,1156,2.8,-24.52,5.04,1.11,1.15,5888,1.426122,10.5815
1.75,1.23,0.94,768.0923,1341.2,1.6,-24.88,5.04,1.3,1.41,6417,3.024518,11.9964
339.56,10.39,0.3,187.4425,942.6,102.9,-27.99,5.05,0.95,0.86,5519,0.608825,8.0324
22.72,2.41,1.62,97.64406,800.9,36.9,-24.09,5.06,0.78,0.74,4870,0.276356,7.4179
26.43,2.49,1.71,897.5314,1394.5,45.2,-26.58,5.07,1.16,1.71,5958,3.305856,15.0587
7.49,3.36,0.2,1309.126,1532.5,1.5,-27.65,5.08,1.41,2.06,6166,5.503493,16.9938
2.81,1.41,1,182.5335,936.4,2.8,-23.61,5.08,0.95,0.86,5461,0.590168,8.0668
302.04,13.89,0.11,602.7742,1262.4,34.1,-29.9,5.08,1.23,1.45,5940,2.321551,12.4473
6.68,3.24,0.2,338.8477,1093.1,1.3,-26.09,5.1,1.04,1.06,5836,1.169399,9.6271
0.36,0.76,0.81,261.2439,1024.3,0.3,-22.65,5.1,0.94,0.99,5564,0.842769,9.2991
5.72,3.7,0.11,127.0374,855.3,0.6,-25.31,5.11,0.91,0.86,4950,0.398389,8.191
5.53,3.05,0.2,1549.378,1598.4,1.1,-27.62,5.11,1.54,1.88,6846,6.965513,14.985
9.51,1.96,1.26,251.5145,1014.6,12,-24.67,5.12,0.97,0.95,5664,0.833355,8.8039
127.18,8.34,0.22,252.3098,984.8,27.9,-27.92,5.12,0.96,0.89,5725,0.763435,8.9947
7.21,1.83,1.19,19.49865,535.4,8.5,-21.73,5.13,0.52,0.49,3753,0.042736,5.58
2.97,1.43,1.01,118.0375,839.7,3,-23.16,5.14,0.81,0.77,5060,0.348717,7.5551
3.18,1.34,1.31,5.303508,386.6,4.2,-19.64,5.15,0.22,0.24,3359,0.006579,3.632
3.06,2.53,0.19,184.3921,938.8,0.6,-24.89,5.15,0.89,0.86,5441,0.58157,8.1676
9.09,1.94,1.25,30.12797,596.9,11.3,-22.33,5.17,0.66,0.54,4164,0.078363,5.6345
8.29,1.89,1.22,538.3642,1227.2,10.1,-25.43,5.17,1.03,1.24,6075,1.878963,11.2034
0.43,0.81,0.82,232.8275,995.2,0.4,-22.65,5.18,0.94,0.93,5605,0.765876,8.6495
7,1.18,4.27,54.97306,693.7,29.9,-21.9,5.19,0.71,0.65,4450,0.148647,6.6652
2.97,1.43,1.01,69.8717,736.6,3,-22.59,5.19,0.73,0.7,4587,0.194626,7.0727
19.94,2.34,1.55,733.4211,1325.8,31,-26.23,5.19,1.26,1.43,6327,2.94004,12.0586
4.74,2.9,0.19,953.3513,1415.7,0.9,-26.98,5.19,1.4,1.57,6564,4.105474,12.7762
13.55,2.14,1.38,433.3474,1162.4,18.8,-25.46,5.19,1.11,1.15,6060,1.600207,10.0983
1.49,1.18,0.92,338.7378,1093,1.4,-23.88,5.2,0.94,1.02,6012,1.219456,9.069
153.88,10.7,0.13,575.0889,1247.1,19.4,-29.28,5.21,1.01,1.78,5150,1.999672,16.149
0.96,1.03,0.88,20.3125,540.9,0.8,-20.52,5.21,0.55,0.49,3799,0.04487,5.5581
1.07,1.06,0.89,403.6104,1141.9,0.9,-23.86,5.21,1.1,1.09,6112,1.487566,9.5793
0.58,0.88,0.84,206.2974,965.5,0.5,-22.72,5.22,0.86,0.88,5524,0.646949,8.3819
480.09,15.46,0.13,600.5408,1261.2,62.4,-30.13,5.22,1.51,1.38,6260,2.623889,11.1435
10.2,3.72,0.2,62.26718,715.2,2,-24.55,5.24,0.69,0.74,4347,0.174593,7.4673
89.02,11.09,0.07,433.1105,1161.8,5.8,-29.05,5.24,1.2,1.41,5610,1.744633,11.8327
0.23,0.66,0.79,             ,,0.2,,5.25,,0.88,5524,0.646949,
5.28,3,0.2,424.3781,1156.3,1,-26.17,5.25,1.1,1.15,6040,1.579186,10.0595
2.23,1.32,0.97,257.7344,1020.8,2.2,-23.84,5.26,0.8,0.94,5600,0.779646,9.1176
12.19,3.94,0.2,320.7515,1078.2,2.4,-26.46,5.26,1.03,1.04,5863,1.146664,9.2797
0.41,0.47,3.97,91.62434,788.2,1.6,-20.46,5.29,0.81,0.76,4809,0.277164,7.369
49.36,6.27,0.2,1666.487,1627.8,9.9,-29.27,5.29,1.11,3.39,4972,6.301061,29.7118
1.03,1.05,0.88,247.4912,1010.5,0.9,-23.3,5.31,0.98,0.97,5659,0.865749,8.7486
10.17,1.99,1.28,444.6593,1169.9,13.1,-25.33,5.32,1.02,1.18,5983,1.600774,10.4953
14.46,2.17,1.41,73.38585,745.7,20.4,-23.55,5.32,0.8,0.69,4731,0.213993,6.8135
4.89,1.65,1.1,185.7668,940.6,5.4,-23.96,5.32,0.92,0.88,5477,0.62521,8.0905
85.84,13.66,0.03,753.6409,1334.9,2.9,-30.11,5.32,1.06,1.53,6030,2.776783,13.4636
25.16,2.46,1.68,259.7197,1022.8,42.3,-25.21,5.33,0.98,0.96,5847,0.966417,8.3944
0.86,1,0.87,292.4966,1053.6,0.7,-23.36,5.33,1.02,1.01,5828,1.055871,8.9676
922.03,7.84,1.91,384.6858,1128.3,1764.2,-28.16,5.33,0.97,1.16,5771,1.339091,10.4923
4.24,2.8,0.19,93.7765,792.8,0.8,-24.37,5.34,0.8,0.74,4924,0.288819,7.1106
4.24,2.8,0.19,93.76473,792.8,0.8,-24.37,5.34,0.8,0.74,4924,0.288819,7.1101
0.86,1,0.87,409.1697,1145.8,0.7,-23.73,5.34,1.13,1.13,5938,1.42432,10.2202
12.42,2.09,1.35,111.2723,827.4,16.8,-23.93,5.34,0.81,0.77,5048,0.345421,7.37
18.31,2.3,1.51,189.0651,944.7,27.7,-24.71,5.34,0.92,0.88,5508,0.639486,8.0703
170.1,13.1,0.08,359.1192,1085.5,12.9,-29.27,5.35,1.1,1.19,5650,1.294725,10.887
17.55,2.27,1.49,164.4169,912.3,26.2,-24.53,5.35,0.86,0.8,5571,0.553098,7.3556
3.67,2.68,0.19,231.0751,993.3,0.7,-25.26,5.35,0.96,0.94,5646,0.805581,8.4919
1.54,1.19,0.92,450.2018,1173.5,1.4,-24.21,5.35,1.14,1.21,6050,1.759876,10.3275
15.9,4.31,0.2,7.195362,417.2,3.2,-22.51,5.37,0.31,0.3,3498,0.01209,3.902
25.16,2.46,1.68,341.088,1094.9,42.3,-25.5,5.37,0.98,1.11,5821,1.269189,9.7089
16.11,2.23,1.45,997.7698,1431.9,23.4,-26.46,5.37,1.27,1.8,6171,4.215578,14.7988
8.48,1.9,1.23,122.6092,847.8,10.4,-23.82,5.38,0.85,0.79,5160,0.396956,7.4042
3.52,2.64,0.19,114.1806,832.8,0.7,-24.46,5.39,0.82,0.78,5075,0.362096,7.3865
8.68,11.76,0.01,122.4269,846.9,0,-27.8,5.4,0.83,0.78,5177,0.392095,7.3563
5.98,2.31,0.49,410.1689,1146.4,2.9,-25.56,5.4,1.08,1.24,5793,1.561156,10.754
6.19,3.16,0.2,367.6101,1115.6,1.2,-26.13,5.4,1.09,1.11,5980,1.413645,9.5501
1175.97,5.04,9.19,62.65443,716.8,10801.9,-25.22,5.42,0.56,1.05,3540,0.155339,11.2559
2.37,1.34,0.97,230.8188,993,2.3,-23.76,5.42,0.91,0.9,5815,0.830948,8.0002
26.46,5.11,0.2,37.01074,628.4,5.3,-24.67,5.42,0.6,0.59,4188,0.096077,6.1741
2.97,1.43,1.01,158.3014,903.7,3,-23.48,5.43,0.88,0.89,5232,0.532526,8.1845
1058.1,12.4,0.56,823.1313,1311.3,587.4,-30.11,5.45,1.36,1.45,6509,3.385968,12.7437
0.41,0.8,0.82,146.4559,886.3,0.3,-22.11,5.45,0.9,0.81,5403,0.501649,7.3807
12.42,2.09,1.35,222.8192,984.3,16.8,-24.68,5.45,0.99,0.92,5719,0.812355,8.1267
10.17,1.99,1.28,348.4107,1100.7,13.1,-25.06,5.46,1.15,1.14,5894,1.407149,9.5707
1.27,1.12,0.9,318.4754,1076.3,1.1,-23.71,5.47,1,1.07,5828,1.185047,9.3583
7.38,1.84,1.19,64.46387,721.9,8.8,-23.05,5.48,0.65,0.67,4648,0.187977,6.6158
11.32,3.61,0.24,115.8458,835.8,2.7,-25.16,5.49,0.83,0.87,4918,0.397267,7.9236
0.71,0.94,0.85,221.7119,983.1,0.6,-22.93,5.5,0.97,0.95,5618,0.806611,8.4011
58.18,10.61,0.05,83.49763,768.5,2.8,-27.16,5.51,0.77,0.72,4870,0.259444,6.8783
2.04,1.29,0.96,196.6971,954.1,1.9,-23.49,5.51,0.95,0.91,5556,0.707981,8.09
12.15,2.08,1.34,194.531,951.5,16.3,-24.52,5.52,0.95,0.94,5497,0.72385,8.2192
2.44,1.36,0.98,197.224,954.7,2.4,-23.6,5.54,0.87,0.84,5787,0.710006,7.4661
17.18,2.26,1.48,34.17075,616,25.5,-22.81,5.54,0.63,0.61,4098,0.094154,6.196
243.48,9.76,0.26,1615.817,1615.3,63.9,-30.2,5.55,1.58,1.95,7010,8.238179,14.5931
2.05,1.29,0.96,10.32291,456.7,2,-20.28,5.58,0.41,0.4,3497,0.021468,4.6757
0.8,0.97,0.86,527.5117,1221,0.7,-23.96,5.58,1.18,1.28,6241,2.230111,10.5058
14.31,4.16,0.2,64.74268,719.6,2.8,-24.84,5.6,0.74,0.67,4746,0.200736,6.4173
1.06,1.06,0.89,406.3245,1143.7,0.9,-23.86,5.6,0.92,1.12,6004,1.462476,9.9623
3.59,1.51,1.04,136.7789,871.3,3.7,-23.44,5.6,0.85,0.81,5308,0.467287,7.3903
12.31,2.09,1.35,70.1423,737.3,16.6,-23.42,5.61,0.76,0.72,4680,0.22312,6.8072
3.24,1.47,1.02,167.5524,916.6,3.3,-23.6,5.61,0.9,0.87,5441,0.595173,7.7851
1.92,1.27,0.95,239.7407,1002.5,1.8,-23.67,5.62,0.99,0.97,5732,0.911293,8.3919
2778.8,10.65,2.3,926.172,1327.6,6390.2,-29.96,5.63,1.34,1.54,6414,3.6012,14.2628
0.83,0.99,0.86,727.2212,1323,0.7,-24.33,5.63,1.34,1.57,6152,3.167776,12.7029
14.46,2.17,1.41,140.7479,877.5,20.4,-24.26,5.63,0.87,0.83,5312,0.492128,7.4856
