PmassEU,PradiusEU,PdensityEU,PfluxMeanEU,PteqMeanK,PsurfPressEU,Pmag,PperiodDYS,SmassSU,SradiusSU,SteffK,SluminositySU,SsizefromPlanetDEG
13.85,2.15,1.39,710.9457,1315.5,19.3,-26.01,3.39,1.02,1.3,5551,1.439665,15.442
3.69,1.52,1.04,1219.903,1505.7,3.8,-25.84,3.39,1.23,1.39,6297,2.725551,15.7207
4.2,1.58,1.07,869.5132,1383.5,4.5,-25.55,3.4,1.14,1.21,6133,1.858457,13.9825
0.31,0.73,0.8,149.0846,890.2,0.2,-21.94,3.41,0.68,0.64,4984,0.226758,8.7538
28.42,5.23,0.2,283.7631,1045.6,5.6,-26.95,3.41,0.86,0.83,5346,0.504849,10.5013
288.37,13.59,0.12,769.9532,1341.5,33.2,-30.12,3.41,1.02,1.09,6150,1.53612,13.0879
151.98,17.21,0.03,939.9124,1410.6,4.5,-30.85,3.41,1.16,1.24,6200,2.038449,14.2262
95.38,11.2,0.07,1382.371,1551.8,6.5,-30.34,3.42,1.2,1.93,5494,3.044802,22.0837
1.86,1.25,0.94,391.3266,1133.1,1.8,-24.18,3.43,0.97,0.94,5560,0.757608,11.4038
0.34,0.75,0.81,489.9437,1198.6,0.3,-23.3,3.43,1,0.99,5765,0.971309,11.8704
152.61,13.44,0.06,454.0577,1176,9.6,-29.52,3.43,1.06,1.05,5540,0.931767,12.3764
152.61,11.65,0.1,217.5529,978.1,14.7,-28.4,3.44,0.93,0.81,5192,0.420833,9.7845
589.78,14.58,0.19,586.4362,1250.3,112.2,-29.98,3.45,0.99,1.04,5870,1.147722,12.5746
0.31,0.73,0.8,281.1098,1043.2,0.2,-22.63,3.45,0.87,0.83,5361,0.510539,10.3934
242.59,20.46,0.03,1900.77,1675.2,6.9,-32.01,3.47,1.4,1.78,6401,4.756155,19.1252
14.02,4.13,0.2,49.0096,674.1,2.8,-24.51,3.47,0.6,0.57,3939,0.070175,8.0341
2.51,1.37,0.98,364.6909,1113.3,2.5,-24.29,3.47,0.82,0.86,5580,0.643315,10.9286
7.97,3.43,0.2,9.273277,438.4,1.6,-22.33,3.48,0.29,0.29,3180,0.007984,5.4621
7.99,3.43,0.2,9.04381,435.6,1.6,-22.31,3.48,0.29,0.29,3180,0.007716,5.394
1.23,1.11,0.9,352.4746,1103.9,1.1,-23.8,3.48,0.91,0.93,5418,0.66867,11.3977
146.25,11.54,0.1,1054.302,1451.7,13.9,-30.1,3.49,0.99,1.71,5400,2.230782,19.9117
40.25,5.87,0.2,1045.348,1448.6,8,-28.62,3.49,1.12,1.67,5570,2.408483,18.6229
6.87,2,0.86,462.8623,1181.7,5.9,-25.38,3.5,0.97,1.11,5383,0.924841,13.2391
0.25,0.68,0.79,210.6165,970.6,0.2,-22.18,3.5,0.83,0.79,5101,0.37911,9.9356
